"rank_","?column?","followers","rank","tw_username","followers_count","likes","location","location_1","location_2","location_3","location_4","location_5","location_6","continent","country","state","city","followers_count_created_at","location_created_at","ranking_date"
142,@arabromance8,39K,3447,arabromance8,38957,,"Fort Lauderdale, FL . Orlando",Fort Lauderdale,FL . Orlando,"Fort Lauderdale, FL . Orlando",,"Fort Lauderdale, FL . Orlando",,,,FL,ORLANDO,2022-06-03 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
143,@thugboy,38K,3492,thugboy,38271,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
144,@nelson_mauri_,37K,3565,nelson_mauri_,37018,3900,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
145,@gaystuddick,37K,3600,gaystuddick,36581,,"Whorelando, FL",Whorelando,FL,"Whorelando, FL",,"Whorelando, FL",,,,FL,,2022-06-02 02:00:00.000,2022-05-16 02:00:00.000,2022-06-03 02:00:00.000
146,@leogotti69,36K,3625,leogotti69,36283,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-03 02:00:00.000,2022-05-11 02:00:00.000,2022-06-03 02:00:00.000
147,@jhit1999,36K,3638,jhit1999,36158,1200,"Jacksonville Beach, FL",Jacksonville Beach,FL,"Jacksonville Beach, FL",,"Jacksonville Beach, FL",,,,FL,JACKSONVILLE,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
148,@fabscout,36K,3679,fabscout,35503,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-16 02:00:00.000,2022-06-03 02:00:00.000
149,@jacemyersxxx,35K,3685,jacemyersxxx,35413,1100,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
150,@latinalfredxxx,35K,3696,latinalfredxxx,35223,751,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
151,@giovannirosax,35K,3721,giovannirosax,34856,3200,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
152,@blondeboygee,35K,3729,blondeboygee,34629,14900,Miami,Miami,,Miami,,Miami,,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
153,@theloganlongg,34K,3773,theloganlongg,33967,1900,Midwest ,Midwest,,Midwest,,Midwest,,,,FL,,2022-04-13 02:00:00.000,2022-04-13 02:00:00.000,2022-06-03 02:00:00.000
154,@renzounctx,34K,3798,renzounctx,33704,3600,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
155,@kazakhkidx,34K,3804,kazakhkidx,33516,643,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
156,@blakedaltonx,33K,3828,blakedaltonx,33105,9900,"Miami Beach, FL",Miami Beach,FL,"Miami Beach, FL",,"Miami Beach, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-21 02:00:00.000,2022-06-03 02:00:00.000
157,@dakotalovell_,33K,3838,dakotalovell_,32925,8500,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-22 02:00:00.000,2022-06-03 02:00:00.000
158,@tatedanielss,32K,3874,tatedanielss,32441,8200,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-05-28 02:00:00.000,2022-06-03 02:00:00.000
159,@thatboydylan07,32K,3893,thatboydylan07,32316,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
160,@sin_cityxxx,32K,3904,sin_cityxxx,32194,273,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-03 02:00:00.000,2022-06-03 02:00:00.000,2022-06-03 02:00:00.000
161,@thiccspeedoguy,32K,3912,thiccspeedoguy,32043,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-25 02:00:00.000,2022-06-03 02:00:00.000
162,@tomtom5333,32K,3953,tomtom5333,31531,,"Tampa, FL",Tampa,FL,"Tampa, FL",,"Tampa, FL",,,,FL,TAMPA,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
163,@joey19975_,31K,3976,joey19975_,31238,,Florida,Florida,,Florida,,Florida,,,,FL,,2022-06-02 02:00:00.000,2022-05-23 02:00:00.000,2022-06-03 02:00:00.000
164,@bussybandittt,31K,4007,bussybandittt,30850,261,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-03 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
165,@castrosupremexx,31K,4039,castrosupremexx,30507,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
166,@anthonygreyxxx,30K,4084,anthonygreyxxx,30010,,"New York, NY / Miami Beach, Fl",New York,NY / Miami Beach,"New York, NY / Miami Beach, Fl",,"New York, NY","Miami Beach, Fl",,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-13 02:00:00.000,2022-06-03 02:00:00.000
167,@meaulikendoll,30K,4091,meaulikendoll,29938,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
168,@sinful_nova,30K,4093,sinful_nova,29923,1800,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
169,@verspapiii,29K,4211,verspapiii,28554,508,Florida,Florida,,Florida,,Florida,,,,FL,,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
170,@leatheredge,28K,4229,leatheredge,28320,,"Fort Lauderdale, FL",Fort Lauderdale,FL,"Fort Lauderdale, FL",,"Fort Lauderdale, FL",,,,FL,FORT LAUDERDALE,2022-06-03 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
171,@nathanreedxxx,28K,4239,nathanreedxxx,28197,,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-05-18 02:00:00.000,2022-06-03 02:00:00.000
172,@davidbixccs,28K,4265,davidbixccs,27814,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-04-08 02:00:00.000,2022-06-03 02:00:00.000
173,@nikolovetmxxx,28K,4287,nikolovetmxxx,27548,15000,"West Palm Beach, FL",West Palm Beach,FL,"West Palm Beach, FL",,"West Palm Beach, FL",,,,FL,WEST PALM BEACH,2022-06-02 02:00:00.000,2022-05-27 02:00:00.000,2022-06-03 02:00:00.000
174,@derek_shawxxx,27K,4292,derek_shawxxx,27477,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-07 02:00:00.000,2022-06-03 02:00:00.000
175,@eddiemiami_,27K,4328,eddiemiami_,27139,14700,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-16 02:00:00.000,2022-06-03 02:00:00.000
176,@pedr0_xxx,27K,4370,pedr0_xxx,26706,5,"Florida, USA",Florida,USA,"Florida, USA",,"Florida, USA",,,,FL,,2022-06-02 02:00:00.000,2022-06-02 02:00:00.000,2022-06-03 02:00:00.000
177,@vectorprivate1,26K,4385,vectorprivate1,26480,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
178,@myles_spears,26K,4386,myles_spears,26480,6000,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-02 02:00:00.000,2022-05-31 02:00:00.000,2022-06-03 02:00:00.000
179,@explictcontentl,26K,4395,explictcontentl,26434,,"Orlando, FL",Orlando,FL,"Orlando, FL",,"Orlando, FL",,,,FL,ORLANDO,2022-06-02 02:00:00.000,2022-05-13 02:00:00.000,2022-06-03 02:00:00.000
180,@boschiworldwide,26K,4427,boschiworldwide,26041,,"Miami, FL",Miami,FL,"Miami, FL",,"Miami, FL",,,,FL,MIAMI,2022-06-03 02:00:00.000,2022-05-29 02:00:00.000,2022-06-03 02:00:00.000
